,player_name,_col_1
0,Joe Johnson,Rush
1,DeAndre' Bembry,Archie Goodwin
2,Okaro White,"6
False"
3,Glen Davis,"', answering for each of the values left-to-right. Here is the corrected output:

```
1"
4,Raul Neto,"Denzel Valentine
```"
5,Kevin Martin,CJ
6,Emmanuel Mudiay,Ben McLemore
7,Erick Green,10
8,E'Twaun Moore," '))
```

This script will output:

```
1"
9,Sergey Karasev,Dorell
10,Evan Turner,Beno Udrih
11,Zoran Dragic,Evan
12,Jusuf Nurkic,True
13,Joel Anthony,"Weber
```"
14,Troy Williams,"False
Ed Davis"
15,Jarell Eddie,10
